date,lowerIV,higherIV,actualIV,LowerLimIV,UpperLimIV
2019-09-30,0.165,0.178,0.151,0.136,0.201
2019-10-01,0.157,0.171,0.174,0.122,0.197
2019-10-03,0.17,0.186,0.177,0.137,0.215
2019-10-04,0.18,0.196,0.171,0.145,0.227
2019-10-07,0.175,0.189,0.176,0.147,0.215
2019-10-09,0.195,0.209,0.162,0.165,0.237
2019-10-10,0.213,0.228,0.159,0.18,0.257
2019-10-11,0.2,0.217,0.153,0.159,0.249
2019-10-14,0.184,0.196,0.154,0.157,0.221
2019-10-15,0.173,0.186,0.149,0.146,0.211
2019-10-16,0.166,0.181,0.139,0.137,0.208
2019-10-17,0.164,0.179,0.136,0.132,0.208
2019-10-18,0.152,0.167,0.135,0.113,0.195
2019-10-22,0.12,0.143,0.168,0.099,0.172
2019-10-23,0.093,0.123,0.157,0.088,0.154
2019-10-24,0.096,0.126,0.158,0.088,0.158
2019-10-25,0.087,0.125,0.143,0.094,0.159
2019-10-27,0.077,0.127,0.134,0.098,0.166
2019-10-29,0.103,0.117,0.157,0.079,0.142
2019-10-30,0.101,0.121,0.151,0.078,0.149
2019-10-31,0.093,0.125,0.14,0.089,0.157
2019-11-01,0.088,0.126,0.132,0.087,0.161
2019-11-04,0.091,0.111,0.139,0.064,0.138
2019-11-05,0.094,0.119,0.136,0.076,0.149
2019-11-06,0.087,0.116,0.137,0.076,0.148
2019-11-07,0.082,0.116,0.125,0.077,0.15
2019-11-08,0.079,0.124,0.13,0.089,0.162
2019-11-11,0.079,0.108,0.135,0.078,0.138
2019-11-13,0.056,0.108,0.134,0.087,0.144
2019-11-14,0.062,0.107,0.127,0.083,0.142
2019-11-15,0.059,0.108,0.132,0.084,0.144
2019-11-18,0.064,0.103,0.135,0.077,0.136
2019-11-19,0.063,0.104,0.132,0.08,0.136
2019-11-20,0.067,0.111,0.128,0.087,0.146
2019-11-21,0.063,0.109,0.122,0.086,0.144
2019-11-22,0.067,0.115,0.116,0.086,0.152
2019-11-25,0.08,0.099,0.132,0.061,0.125
2019-11-26,0.066,0.107,0.138,0.079,0.139
2019-11-27,0.074,0.108,0.121,0.074,0.14
2019-11-28,0.071,0.107,0.106,0.077,0.14
2019-11-29,0.066,0.111,0.115,0.084,0.147
2019-12-02,0.079,0.106,0.12,0.073,0.136
2019-12-03,0.075,0.11,0.124,0.077,0.142
2019-12-04,0.067,0.109,0.117,0.084,0.143
2019-12-05,0.07,0.111,0.106,0.082,0.147
2019-12-06,0.066,0.113,0.119,0.088,0.151
2019-12-09,0.059,0.11,0.12,0.085,0.146
2019-12-10,0.059,0.11,0.129,0.084,0.147
2019-12-11,0.062,0.114,0.117,0.088,0.152
2019-12-12,0.055,0.113,0.123,0.094,0.153
2019-12-13,0.051,0.114,0.129,0.093,0.156
2019-12-16,0.061,0.1,0.118,0.076,0.131
2019-12-17,0.066,0.102,0.112,0.077,0.132
2019-12-18,0.066,0.105,0.108,0.08,0.137
2019-12-19,0.068,0.109,0.1,0.081,0.141
2019-12-20,0.064,0.112,0.105,0.086,0.147
2019-12-23,0.07,0.101,0.11,0.07,0.129
2019-12-24,0.062,0.104,0.109,0.076,0.135
2019-12-26,0.066,0.112,0.105,0.085,0.146
2019-12-27,0.064,0.108,0.097,0.081,0.142
2019-12-30,0.074,0.1,0.101,0.066,0.129
2019-12-31,0.071,0.105,0.114,0.074,0.136
2020-01-01,0.074,0.108,0.104,0.076,0.14
2020-01-02,0.089,0.118,0.098,0.077,0.148
2020-01-03,0.084,0.123,0.098,0.086,0.157
2020-01-06,0.105,0.132,0.141,0.089,0.161
2020-01-07,0.105,0.133,0.133,0.088,0.164
2020-01-08,0.093,0.128,0.138,0.09,0.161
2020-01-09,0.118,0.144,0.128,0.1,0.175
2020-01-10,0.106,0.137,0.118,0.097,0.171
2020-01-13,0.117,0.134,0.125,0.091,0.16
2020-01-14,0.1,0.122,0.123,0.085,0.15
2020-01-15,0.099,0.126,0.124,0.09,0.155
2020-01-16,0.099,0.129,0.114,0.094,0.16
2020-01-17,0.101,0.134,0.123,0.1,0.166
2020-01-20,0.105,0.134,0.15,0.099,0.163
2020-01-21,0.109,0.136,0.152,0.098,0.166
2020-01-22,0.106,0.136,0.161,0.101,0.167
2020-01-23,0.106,0.139,0.148,0.103,0.171
2020-01-24,0.103,0.138,0.151,0.101,0.171
2020-01-27,0.1,0.129,0.185,0.093,0.16
2020-01-28,0.096,0.126,0.19,0.089,0.156
2020-01-29,0.091,0.127,0.171,0.09,0.16
2020-01-30,0.087,0.128,0.178,0.09,0.162
2020-01-31,0.075,0.122,0.201,0.092,0.16
2020-02-01,0.104,0.151,0.161,0.113,0.19
2020-02-03,0.107,0.13,0.129,0.089,0.159
2020-02-04,0.109,0.136,0.106,0.095,0.166
2020-02-05,0.11,0.137,0.104,0.096,0.168
2020-02-06,0.107,0.139,0.102,0.1,0.173
2020-02-07,0.122,0.154,0.099,0.108,0.19
2020-02-10,0.133,0.151,0.113,0.103,0.179
2020-02-11,0.129,0.144,0.113,0.096,0.172
2020-02-12,0.114,0.133,0.11,0.084,0.161
2020-02-13,0.112,0.135,0.098,0.093,0.165
2020-02-14,0.108,0.136,0.112,0.092,0.168
2020-02-17,0.115,0.134,0.127,0.091,0.162
2020-02-18,0.127,0.147,0.124,0.105,0.176
2020-02-19,0.146,0.165,0.117,0.12,0.194
2020-02-20,0.135,0.158,0.109,0.115,0.189
2020-02-24,0.145,0.16,0.149,0.112,0.189
2020-02-25,0.166,0.181,0.155,0.125,0.209
2020-02-26,0.158,0.174,0.168,0.114,0.205
2020-02-27,0.162,0.179,0.155,0.126,0.209
2020-02-28,0.191,0.209,0.211,0.148,0.242
2020-03-02,0.192,0.206,0.233,0.157,0.232
2020-03-03,0.187,0.201,0.231,0.148,0.23
2020-03-04,0.211,0.226,0.222,0.169,0.256
2020-03-05,0.221,0.237,0.196,0.178,0.268
2020-03-06,0.199,0.223,0.211,0.159,0.258
2020-03-09,0.234,0.249,0.315,0.203,0.278
2020-03-11,0.241,0.256,0.309,0.208,0.286
2020-03-13,0.411,0.427,0.572,0.377,0.46
2020-03-16,0.39,0.402,0.703,0.365,0.427
2020-03-17,0.41,0.424,0.767,0.383,0.451
2020-03-18,0.461,0.476,0.749,0.431,0.505
2020-03-19,0.463,0.479,0.855,0.433,0.509
2020-03-20,0.453,0.47,0.747,0.419,0.503
2020-03-24,0.352,0.36,0.841,0.336,0.376
2020-03-25,0.365,0.375,0.818,0.343,0.396
2020-03-26,0.395,0.406,0.688,0.372,0.428
2020-03-27,0.464,0.477,0.703,0.438,0.504
2020-03-30,0.33,0.339,0.693,0.312,0.357
2020-03-31,0.336,0.345,0.61,0.316,0.365
2020-04-01,0.407,0.419,0.548,0.384,0.442
2020-04-03,0.495,0.509,0.484,0.466,0.537
2020-04-07,0.354,0.365,0.518,0.332,0.387
2020-04-08,0.402,0.415,0.496,0.375,0.441
2020-04-09,0.376,0.39,0.412,0.348,0.418
2020-04-13,0.41,0.422,0.495,0.384,0.447
2020-04-15,0.436,0.45,0.483,0.41,0.476
